model_size,approach,folder,score_2ppl,score_3ppl,score_4ppl
1.5B,deepseek-correct-seq8k-1k,qwen-2.5-1.5B-instruct-sft-lora-countdown-deepseek-correct-seq8k-1k,1.5,0.5,0.1
0.5B,search-seq8k-5k,qwen-2.5-0.5B-instruct-sft-lora-countdown-search-seq8k-5k,0.0,0.0,0.0
0.5B,o3-1k,qwen-2.5-0.5B-instruct-sft-lora-countdown-o3-1k,0.0,0.0,0.0
0.5B,o3-5k,qwen-2.5-0.5B-instruct-sft-lora-countdown-o3-5k,1.0,0.1,0.0
0.5B,optimal-1k,qwen-2.5-0.5B-instruct-sft-lora-countdown-optimal-1k,0.5,0.2,0.1
0.5B,optimal-seq8k-5k,qwen-2.5-0.5B-instruct-sft-lora-countdown-optimal-seq8k-5k,1.5,0.0,0.0
0.5B,search-1k,qwen-2.5-0.5B-instruct-sft-lora-countdown-search-1k,1.0,0.0,0.0
0.5B,search-react-1k,qwen-2.5-0.5B-instruct-sft-lora-countdown-search-react-1k,2.0,0.0,0.0
0.5B,search-react-correct-seq10k-5k,qwen-2.5-0.5B-instruct-sft-lora-countdown-search-react-correct-seq10k-5k,0.0,0.0,0.0
1.5B,optimal-seq8k-5k,qwen-2.5-1.5B-instruct-sft-lora-countdown-optimal-seq8k-5k,2.5,0.0,0.0
1.5B,search-react-correct-seq10k-5k,qwen-2.5-1.5B-instruct-sft-lora-countdown-search-react-correct-seq10k-5k,0.0,0.0,0.0
1.5B,search-react-seq8k-5k,qwen-2.5-1.5B-instruct-sft-lora-countdown-search-react-seq8k-5k,2.0,0.0,0.0
1.5B,search-seq8k-5k,qwen-2.5-1.5B-instruct-sft-lora-countdown-search-seq8k-5k,0.0,0.0,0.0
1.5B,baseline,qwen-2.5-1.5B-instruct-countdown-baseline,7.000000000000001,2.1,0.5
0.5B,baseline,qwen-2.5-0.5B-instruct-countdown-baseline,1.0,0.0,0.0
